CON,RA,DEC
TAU,4.598611,16.5000
TAU,5.627500,21.1500
TAU,,
TAU,5.438056,28.6000
TAU,4.476944,19.1833
TAU,4.382222,17.5333
TAU,4.330000,15.6167
TAU,,
TAU,4.476944,19.1833
TAU,3.791389,24.1167
TAU,,
AUR,5.992222,54.2833
AUR,5.992222,44.9500
AUR,5.278056,46.0000
AUR,5.992222,54.2833
AUR,,
AUR,5.278056,46.0000
AUR,5.032778,43.8333
AUR,5.041389,41.0833
AUR,4.950000,33.1500
AUR,5.438056,28.6000
AUR,5.995278,37.2000
AUR,5.992222,44.9500
AUR,,
HOR,4.233333,-42.2833
HOR,2.709167,-50.8000
HOR,2.623333,-52.5500
HOR,2.677778,-54.5500
HOR,,
CAE,5.073611,-35.4833
CAE,4.700833,-37.1333
CAE,4.675833,-41.8667
CAE,4.513889,-44.9500
CAE,,
SCL,0.976667,-29.3667
SCL,23.815278,-28.1333
SCL,23.313889,-32.5333
SCL,23.549722,-37.8167
SCL,0.465278,-33.0167
SCL,0.976667,-29.3667
SCL,,
CET,2.658056,0.3333
CET,2.322500,-2.9833
CET,1.857500,-10.3333
CET,1.400278,-8.1833
CET,0.323889,-8.8333
CET,0.726389,-17.9833
CET,2.000278,-21.0833
CET,2.658056,0.3333
CET,2.721667,3.2333
CET,3.038056,4.1000
CET,2.995278,8.9167
CET,2.748889,10.1167
CET,2.469167,8.4667
CET,2.721667,3.2333
CET,,
CET,0.726389,-17.9833
CET,1.734444,-15.9333
CET,,
FOR,3.201111,-28.9833
FOR,2.818056,-32.4167
FOR,2.075000,-29.3000
FOR,,
PHE,0.438056,-42.3000
PHE,0.436667,-43.6833
PHE,1.101389,-46.7167
PHE,1.472500,-43.3167
PHE,1.520833,-49.0833
PHE,1.101389,-46.7167
PHE,,
PHE,0.436667,-43.6833
PHE,1.139722,-55.2500
PHE,0.722500,-57.4667
PHE,,
PHE,0.436667,-43.6833
PHE,0.156667,-45.7500
PHE,23.584722,-42.6167
PHE,23.787778,-50.2333
PHE,0.156667,-45.7500
PHE,,
CAM,4.954722,53.7667
CAM,5.056944,60.4500
CAM,4.900833,66.3333
CAM,3.839444,71.3167
CAM,,
CAM,4.900833,66.3333
CAM,6.314103,69.3167
CAM,7.001121,76.9667
CAM,,
ERI,1.628333,-57.2500
ERI,1.932500,-51.6000
ERI,2.275000,-51.5167
ERI,2.449722,-47.7000
ERI,2.677778,-39.8500
ERI,2.970833,-40.3000
ERI,4.298333,-33.8000
ERI,4.400556,-34.0167
ERI,4.592500,-30.5667
ERI,4.558333,-29.7667
ERI,3.998889,-24.0167
ERI,3.895000,-24.6000
ERI,3.780833,-23.2500
ERI,3.563056,-21.6333
ERI,3.325278,-21.7500
ERI,3.040000,-23.6167
ERI,2.850556,-21.0000
ERI,2.751667,-18.5833
ERI,2.940278,-8.9000
ERI,3.263889,-8.8167
ERI,3.548889,-9.4667
ERI,3.720556,-9.7667
ERI,3.769167,-12.1000
ERI,3.967222,-13.5167
ERI,4.197778,-6.8333
ERI,4.605278,-3.3500
ERI,4.758333,-3.2500
ERI,5.130833,-5.0833
ERI,,
PEG,0.139722,29.0833
PEG,23.063056,28.0833
